Timestamp,StationID,Lines,DirectionID
2024-07-05T16:53:00Z,U-Rd,U7,U-RSp
2024-07-05T17:07:00Z,SU-Zo,U9,
2024-07-05T17:08:00Z,U-Ha,U9,
